filename,title,publisher,year,image,external_url,featured
holly-painter-five-poems-literaryshanghai-com.md,"Holly Painter Five Poems",Literaryshanghai,,/uploads/wp/cropped-Logo-01-white.jpg,http://www.literaryshanghai.com/holly-painter-five-poems/,
hue-cry-hollypainter-com.md,"Hue&Cry",Holly Painter Archive,,/uploads/wp/huecry.jpg,/uploads/wp/in-which-we-depart.jpg,
interview-penduline-press.md,"Interview",Penduline Press,,,,
jaam-cover-001-hollypainter-com.md,"JAAM cover 001",Holly Painter Archive,,/uploads/wp/jaam-cover-001.jpg,/uploads/wp/boys-on-the-beach-and-the-way-it-felt-to-be-so-warm2.jpg,
jean-everywhere-stories-short-fiction-for-a-small-planet.md,"Jean",Everywhere Stories: Short Fiction for a Small Planet,,,,
little-obedience-a-special-person-and-obsolescence-watershed-review.md,"Little Obedience, A Special Person, and Obsolescence",Watershed Review,,/uploads/wp/Watershed-cover.jpg,https://wayback.archive-it.org/10525/20190514084855/https://www.csuchico.edu/watershed/2018-spring/poetry/painter-holly.shtml,
lunch-ticket-lunchticket-org.md,"Lunch Ticket",Lunchticket,,/uploads/wp/Lunch-Ticket-800x1024.png,https://lunchticket.org/neonatology-kindergarten/,
m58-co-uk-m58-co-uk.md,"m58.co.uk",M58,,/uploads/wp/m58.co_.uk_.png,http://www.m58.co.uk/post/179648157159/from-cryptic-crosswords-by-holly-painter,
madhat-madhat.md,"MadHat",MadHat,,/uploads/wp/MadHat-cover.png,http://madhatlit.com/two-poems-by-holly-painter/,
mezzo-cammin-mezzo-cammin.md,"Mezzo Cammin",Mezzo Cammin,,/uploads/wp/Mezzo-Cammin-cover.png,http://www.mezzocammin.com/iambic.php?vol=2014&iss=2&cat=poetry&page=painter,
museum-of-americana-museum-of-americana.md,"museum of americana",museum of americana,,/uploads/wp/museum-of-americana-cover.jpg,http://themuseumofamericana.net/issues/current-issue-3/poetry/three-poems-by-holly-painter/,
natural-history-11-adoptapoet-files-wordpress-com.md,"Natural History 11",Adoptapoet,,/uploads/wp/imaginary-syllabi-cover.jpg,/uploads/wp/natural-history-11.jpg,
nner-40-issuu-com.md,"NNER 40",Issuu,,/uploads/wp/NNER-40-661x1024.png,https://issuu.com/nner/docs/nner_2020_draft_4,
nz-listener-adoptapoet-files-wordpress-com.md,"Nz Listener",Adoptapoet,,/uploads/wp/nz-listener-cover.jpg,/uploads/wp/nz-listener.jpg,
nz-poetry-shelf-nzpoetryshelf-com.md,"NZ Poetry Shelf",Nzpoetryshelf,,/uploads/wp/NZ-Poetry-Shelf1.png,https://nzpoetryshelf.com/2018/11/08/poetry-box-audio-spot-holly-painter-reads-mount-ebenezer-roadhouse/,
odt-odt.md,"ODT",ODT,,/uploads/wp/ODT-cover.png,https://dunedinpubliclibraries.wordpress.com/2008/12/08/100-years-poetry-competition-winners/,
on-cryptic-crossword-ix-split-rock-review.md,"On Cryptic Crossword IX",Split Rock Review,,,,
on-marriage-momandnotmom.md,"On Marriage",MomandNotMom,,,,
on-writing-excerpts-from-a-natural-history-flash-frontier.md,"On writing Excerpts from a Natural History",Flash Frontier,,,,
otago-jos-teeth-adoptapoet-files-wordpress-com.md,"Otago Jos Teeth",Adoptapoet,,/uploads/wp/landfall-218-cover.jpg,/uploads/wp/otago-jos-teeth.jpeg,
outside-in-outsideinmagazine-com.md,"Outside In",Outsideinmagazine,,/uploads/wp/Outside-In.png,http://outsideinmagazine.com/issue-seventeen/poetry/chi-town-holly-painter/,
palaver-palaver.md,"Palaver",Palaver,,/uploads/wp/palaver-cover-807x1024.jpg,/uploads/wp/a-sexual-episode-involving-enrico-fermi.jpg,
phillip-s-face-sweet-as-contemporary-short-stories-by-new-zealanders.md,"Phillip's Face",Sweet As: Contemporary Short Stories by New Zealanders,,,,
pictons-morning-crust-adoptapoet-files-wordpress-com.md,"Pictons Morning Crust",Adoptapoet,,/uploads/wp/landfall-223-cover.jpg,/uploads/wp/pictons-morning-crust.jpg,
rain-in-big-river-saskatchewan-cagibilit-com.md,"Rain In Big River Saskatchewan",Cagibilit,,,,
red-savina-red-savina.md,"Red Savina",Red Savina,,/uploads/wp/Red-Savina-cover.png,,
repco-penduline-press.md,"Repco",Penduline Press,,,,
right-hand-pointing-right-hand-pointing.md,"right hand pointing",right hand pointing,,/uploads/wp/right-hand-pointing-cover.png,http://www.archives.righthandpointing.com/Issue22/painter.html,
riprap-riprap.md,"Riprap",Riprap,,/uploads/wp/Riprap-cover-682x1024.jpg,/uploads/wp/riprap1.pdf,
roads-taken-hollypainter-com.md,"Roads Taken",Holly Painter Archive,,/uploads/wp/Roads-Takenn-cover-681x1024.jpeg,/uploads/wp/Roads-Taken.pdf,
rue-scribe-underwoodpress-com.md,"Rue Scribe",Underwoodpress,,/uploads/wp/Rue-Scribe.png,https://underwoodpress.com/ruescribe/2018/10/12/cryptic-crossword-poems-by-holly-painter/,
s-tick-s-tick.md,"s:tick",s:tick,,/uploads/wp/stick-cover-222x300.png,/uploads/wp/Panties.png,
scrambler-scrambler.md,"Scrambler",Scrambler,,/uploads/wp/Scrambler-cover.png,http://thescrambler.com/holly-painter.html,
screen-shot-2019-04-20-at-7-26-09-pm-bmpvoices-com.md,"Screen Shot 2019-04-20 at 7.26.09 PM",Bmpvoices,,/uploads/wp/Screen-Shot-2019-04-20-at-7.26.09-PM.png,"http://www.bmpvoices.com/nine-months-cryptic-crossword-lv-her-him-our-their-us-them-they-body-and-jaws-was-on-tv-on-a-saturday-morning?fbclid=IwAR1ZaEmSIjXhHkIYvtmxthsZKIL9vHOzm7mW_Snr-4m79yrHDA1xdR_28GU",
screenshot-2016-05-16-20-46-43-softblow-org.md,"Screenshot 2016-05-16 20.46.43",Softblow,,/uploads/wp/Screenshot-2016-05-16-20.46.43-248x300.png,http://www.softblow.org/hollypainter.html,
shot-glass-shot-glass.md,"Shot Glass",Shot Glass,,/uploads/wp/Shot-Glass-cover.png,http://www.musepiepress.com/shotglass/holly_painter1,
sonoran-song-adoptapoet-files-wordpress-com.md,"Sonoran Song",Adoptapoet,,/uploads/wp/cream-city-review-cover.jpg,/uploads/wp/sonoran-song.jpg,
specter-specter.md,"specter",specter,,/uploads/wp/specter-cover.png,http://www.spectermagazine.com/twenty-three/painter/,
spectrum-vol-63-covers-v-2-hollypainter-com.md,"Spectrum Vol_ 63 Covers v_ 2",Holly Painter Archive,,/uploads/wp/Spectrum-Vol_-63-Covers-v_-2-667x1024.png,/uploads/wp/Spectrum.pdf,
split-rock-small-splitrockreview-org.md,"split rock small",Splitrockreview,,/uploads/wp/split-rock-small.png,https://www.splitrockreview.org/holly-painter,
spork-spork.md,"spork",spork,,/uploads/wp/spork-cover.png,http://sporkpress.com/poetry/?p=279,
sportcover-hollypainter-com.md,"sportcover",Holly Painter Archive,,/uploads/wp/sportcover.png,/uploads/wp/sport.png,
storm-cellar-cover-3-2-adoptapoet-files-wordpress-com.md,"Storm_Cellar_cover_3.2",Adoptapoet,,/uploads/wp/Storm_Cellar_cover_3.2-682x1024.jpg,/uploads/wp/storm_cellar_p37.jpg,
tattoo-highway-tattoo-highway.md,"Tattoo Highway",Tattoo Highway,,/uploads/wp/Tattoo-Highway-cover.png,http://www.tattoohighway.org/17/hpintransition.html,
the-poem-jack-kerouac-s-11th-chorus-of-desolation-blues-body.md,"The Poem: Jack Kerouac's 11th Chorus of Desolation Blues",BODY,,,,
three-qr-three-qr.md,"three qr",three qr,,/uploads/wp/three-qr-cover.png,http://threequarterreview.com/2015/06/21/two-poems-by-holly-painter/,
toilet-stop-4-adoptapoet-files-wordpress-com.md,"Toilet Stop 4",Adoptapoet,,/uploads/wp/nebo-cover.jpg,/uploads/wp/toilet-stop-4.jpg,
turbine-cover-1-nzetc-victoria-ac-nz.md,"turbine cover 1",Nzetc,,/uploads/wp/turbine-cover-1.png,http://nzetc.victoria.ac.nz/iiml/turbine/Turbi09/poetry/t1-g1-g1-t17-g1-t2-body1-d1.html,
turbine-cover-2-nzetc-victoria-ac-nz.md,"turbine cover 2",Nzetc,,/uploads/wp/turbine-cover-2.png,http://nzetc.victoria.ac.nz/iiml/turbine/Turbi09/poetry/t1-g1-g1-t17-g1-t1-body1-d1.html,
two-poems-25-randomsamplereview-com.md,"Two Poems 25",Randomsamplereview,,/uploads/wp/random-sample-1024x724.png,https://randomsamplereview.com/2017/09/22/two-poems-25/,
ucity-review-ucity-review.md,"ucity review",ucity review,,/uploads/wp/ucity-review-cover.png,http://www.ucityreview.com/8_Painter_Holly.html,
vellichor-paragon-press.md,"Vellichor",Paragon Press,,/uploads/wp/Paragon-Press-Vellichor-800x1024.png,https://issuu.com/theparagonjournal/docs/vellichor,
we-get-on-uretiti-adoptapoet-files-wordpress-com.md,"We Get On Uretiti",Adoptapoet,,/uploads/wp/sport-cover1.jpg,/uploads/wp/we-get-on-uretiti.jpg,
whiskey-island-whiskey-island.md,"Whiskey Island",Whiskey Island,,/uploads/wp/Whiskey-Island-cover-680x1024.jpg,/uploads/wp/Genderqueers.jpg,
whistling-fire-whistling-fire.md,"Whistling Fire",Whistling Fire,,/uploads/wp/Whistling-Fire-cover.png,/uploads/wp/Crab-Fat-Issue-2-November-20141.pdf,
wilde-wilde.md,"Wilde",Wilde,,/uploads/wp/wilde-cover.jpg,/uploads/wp/wilde-p-58.jpg,
worcester-review-hollypainter-com.md,"Worcester Review",Holly Painter Archive,,/uploads/wp/Worcester-Review-685x1024.jpg,/uploads/wp/Fear-of-Flying.jpg,
